source_distribution,dimension,max_val,encoding_max_val,beta,rate,distortion,n_inputs,n_outputs,coverage,vocabulary_size,n_outputs_never_received,n_inputs_representable,self_transmission_mean,self_transmission_median,self_transmission_max,n_survive_above_0.5,n_survive_above_0.25,n_survive_above_0.1,most_faithful_belief,n_prototypes,basin_1_belief,basin_1_share,basin_2_belief,basin_2_share,basin_3_belief,basin_3_share
uniform,3,22,20,0.08700000000000001,2.6315819462138172e-11,11.638720005137944,10648,8000,0.9,1,7999,8000,0.00012500000000888696,0.0,0.9999999926332608,1,1,1,"(4, 4, 4)",1,"(4, 4, 4)",1.0,,,,
uniform,3,22,20,0.062,9.512710414440748e-10,11.638720072673724,10648,8000,0.9,1,7999,8000,0.00012500000044196125,0.0,0.999999487005756,1,1,1,"(4, 4, 4)",1,"(4, 4, 4)",1.0,,,,
uniform,3,22,20,0.171,0.18668151135880795,10.487774239814069,10648,8000,0.9,2,7998,8000,0.0001457739071196527,0.0,0.9098885247283102,1,1,1,"(4, 4, 4)",4,"(4, 4, 4)",0.9957738542449286,"(6, 6, 2)",0.0014087152516904582,"(6, 2, 6)",0.0014087152516904582
uniform,3,22,20,0.23800000000000002,0.948753197924967,6.683485105582037,10648,8000,0.9,4,7996,8000,0.0003318809092116887,0.0,0.7855522188847665,1,4,7,"(6, 6, 6)",7,"(6, 6, 6)",0.5979526671675433,"(7, 7, 2)",0.12462434259954921,"(2, 7, 7)",0.12462434259954921
uniform,3,22,20,0.333,1.4542581702114843,4.899456829489906,10648,8000,0.9,8,7992,8000,0.0005861065911702329,0.0,0.856269351130929,4,7,16,"(7, 7, 7)",13,"(7, 7, 7)",0.5218820435762584,"(8, 8, 2)",0.1380540946656649,"(2, 8, 8)",0.1380540946656649
uniform,3,22,20,0.465,1.9659329997905395,3.6059515548138665,10648,8000,0.9,15,7985,8000,0.0009424463296709658,0.0,0.7145196479199678,4,10,25,"(9, 2, 9)",19,"(8, 8, 8)",0.2705672426746807,"(9, 9, 2)",0.11776859504132231,"(9, 2, 9)",0.11776859504132231
uniform,3,22,20,0.65,2.5437772525396354,2.5432370891037284,10648,8000,0.9,28,7972,8000,0.0016570689261325043,0.0,0.6875909213378697,6,22,34,"(2, 2, 13)",25,"(10, 5, 10)",0.14256198347107438,"(5, 10, 10)",0.14115326821938393,"(10, 10, 5)",0.13993238166791885
uniform,3,22,20,0.909,3.108898835086357,1.8074162856130975,10648,8000,0.9,70,7930,8000,0.002978276655242892,0.0,0.7183249592253786,5,44,86,"(11, 11, 11)",74,"(11, 11, 11)",0.17327197595792637,"(7, 12, 11)",0.03540570999248685,"(11, 12, 7)",0.03540570999248685
uniform,3,22,20,1.27,3.6376186429512343,1.3136768266698517,10648,8000,0.9,91,7909,8000,0.0045774411644869005,0.0,0.9990021797322032,5,65,113,"(1, 1, 1)",89,"(12, 12, 12)",0.1284748309541698,"(14, 8, 8)",0.03615702479338843,"(8, 14, 8)",0.03615702479338843
uniform,3,22,20,1.7750000000000001,4.164645821898383,0.9603021539725712,10648,8000,0.9,123,7877,8000,0.007070980942013943,0.0,0.7262980304918513,26,104,167,"(13, 13, 1)",140,"(13, 13, 13)",0.09645003756574004,"(9, 14, 9)",0.022727272727272728,"(14, 9, 9)",0.022727272727272728
uniform,3,22,20,3.466,5.246210495641458,0.5177626904436288,10648,8000,0.9,342,7658,8000,0.01677189275295356,0.0,0.8740742517418749,56,218,419,"(1, 1, 15)",296,"(15, 12, 15)",0.018876784372652142,"(12, 15, 15)",0.018876784372652142,"(15, 15, 12)",0.018876784372652142
uniform,3,22,20,4.843,5.824108171424349,0.3758449167127972,10648,8000,0.9,461,7539,8000,0.02615759210394389,0.0,0.8287103860005236,80,384,648,"(1, 1, 1)",507,"(12, 16, 12)",0.012302779864763335,"(16, 12, 12)",0.012302779864763335,"(12, 12, 16)",0.012302779864763335
uniform,3,22,20,6.767,6.42119774040016,0.27142574702418093,10648,8000,0.9,808,7192,8000,0.04082517608011225,0.0,0.979609815542059,101,538,1028,"(1, 17, 1)",769,"(16, 16, 16)",0.018876784372652142,"(16, 11, 16)",0.00910969196093163,"(16, 16, 11)",0.00910969196093163
uniform,3,22,20,9.457,7.017646621182476,0.1963845402923573,10648,8000,0.9,967,7033,8000,0.06273080640700586,0.0,0.9914614471527263,227,929,1474,"(1, 1, 1)",1096,"(17, 17, 15)",0.0074192336589030804,"(15, 17, 17)",0.0074192336589030804,"(17, 15, 17)",0.0074192336589030804
uniform,3,22,20,13.215,7.6598200350733,0.13869427427936745,10648,8000,0.9,1722,6278,8000,0.09846899613009734,0.0,0.9993202942700345,354,1458,2248,"(1, 1, 1)",1753,"(17, 17, 18)",0.004789631855747558,"(17, 18, 17)",0.003850488354620586,"(15, 18, 15)",0.0035687453042824945
uniform,3,22,20,18.467,8.282279369904622,0.09870476182499502,10648,8000,0.9,2458,5542,8000,0.14902254761815115,2.813663880612691e-141,0.9999797921873613,520,2288,3246,"(1, 1, 1)",2549,"(16, 18, 18)",0.0030991735537190084,"(18, 18, 16)",0.0030991735537190084,"(18, 16, 18)",0.0030991735537190084
uniform,3,22,20,25.806,8.927401883273534,0.06895061283607327,10648,8000,0.9,3046,4954,8000,0.22008034552607209,0.08845792080951285,0.9999998455093833,1277,3285,3954,"(1, 1, 1)",3503,"(19, 1, 19)",0.0014087152516904582,"(19, 19, 1)",0.0014087152516904582,"(1, 19, 19)",0.0014087152516904582
uniform,3,22,20,36.062,9.539854235534023,0.04879649171768999,10648,8000,0.9,4053,3947,8000,0.31142776023216695,0.3108039062359713,0.9999999998250145,2159,4373,5187,"(1, 1, 1)",4494,"(19, 10, 19)",0.0011269722013523666,"(19, 9, 19)",0.0011269722013523666,"(10, 19, 19)",0.0011269722013523666
uniform,3,22,20,50.394,10.17726237037605,0.033757690770545024,10648,8000,0.9,5026,2974,8000,0.43357691948199545,0.4650861646137513,0.9999999999999863,3572,5833,6353,"(1, 1, 1)",5884,"(6, 20, 20)",0.0009391435011269722,"(20, 20, 6)",0.0009391435011269722,"(20, 6, 20)",0.0009391435011269722
uniform,3,22,20,70.421,10.789291171110145,0.023426880731768206,10648,8000,0.9,5509,2491,8000,0.5659441889873924,0.6264510504146532,1.0,5341,6569,6894,"(1, 1, 1)",6488,"(16, 20, 10)",0.0006574004507888805,"(20, 16, 10)",0.0006574004507888805,"(10, 16, 20)",0.0006574004507888805
